review,star
"This is a lovely LOVELY keyboard but be warned it will take you some getting used to. The keys seem a little high compared to my other keyboards and the keys themselves seem a little closer together. The escape key is not the corner key I am usually expecting in that position. That space is taken up by one of the macro keys.

You WILL get used to this in time, the more you use it but this is an amazing keyboard. It worked as soon as I plugged it in and I didnt have to bother installing any software (apparently theres something you can download to make the light dance differently). I actually have the lights turned off as I find them a distraction. Now I know where the keys are I am able to find them in the dark.
Dont get me wrong they are beautiful lights but just not for me.

No problem typing and Im not getting any problems in games either with the keyboard locking up or any other nonsense that my older, cheaper, keyboard did. Yes this is pricey, but worth it.",5.0 out of 5 stars
"I work in costumer support and I am a typer, I had a basic dell keyboard for years and I am pretty happy with it, I wanted try the macro keys to make my job easier, however, it did not turn out as I expected and here is why.
Cons
1 - If you are buying this for macro keys the macro keys are right beside Shift-Caps-Ctrl buttons, everytime you want to reach to this buttons your finger goes and hits the macro buttons because those buttons shift,caps,ctrl etc buttons are on the edge of the keyboard that is what your hand and finger is used for years now the edge buttons are macro keys that very close to them so you will keep hitting them always, especially when you want to use ctrl+c or Ctrl+v , when you have this keyboard you will start looking at your keyboard to make sure you are not pressing on macro key :) :) so I wish these macro keys were at the Top of the F buttons where there is a huge space there for them.
2- Keys has more dept in other words too tall keys and keys are close to each other , when you are typing lifting your finger from a deep key hole and move to another key hole is difficult so you fingers keeps hitting other keys when moving arround, you dont face this problem if the keys are half length of these buttons. Keys are quite loud too, if you are working at home and dont want to wake up your family in the middle of night with keyboard sound do not buy this. I never had this problem with my simple dell keyboard.
3 -The led lights bleed out from each key and the software and hardware are not stable, you set something and then it works 1 munites and then dont work again, lights to turn off itself I dont know why and how, before installing software I was able to switch rgb lights with F(function) button but after installing software I cannot do that anymore means those settings are only available true software from the moment you install it. and it does not work quite well and stable.

Pros
- The software interface for macro is good and easy to use.",3.0 out of 5 stars
Absolutely love this keyboard. Yes it's membrane but it feels good quality and I prefer it over overly clicky keyboards which sets off my sensory overload. This one does not. I used to have the first version of it which is still like brand new but wanted the second version because of the seperate light colour instead of sections. It does not disappoint. Outstanding Corsair and at a really good price too.,5.0 out of 5 stars
This keyboard is great except if you pour water on it lol for the short time I used this keyboard the way it was laid out was good with the excellent build quality,5.0 out of 5 stars
"So this keyboard feels great the lights do what you ask of them. Not a noisy action on the keys and they press well.
Yet mine broke a few months after buying and for no reason at all, I woke up turned the PC on, and could not enter my start-up code essentially locking me out of my system. I had to find an old keyboard to enter the code to use the PC.
I contacted Amazon as I bought it here and at first was told to contact the manufacturer. That was an unacceptable answer as this would take a week or a few to solve.
I explained this to the kind man in customer services and he was fantastic about it. I got a replacement the next day and shipped the broken one back.
Wonderful job by Amazon and I have the keyboard I wanted rather than a refund.",3.0 out of 5 stars
Son is very happy with the keyboard good value,5.0 out of 5 stars
"I bought this as a gift for my gf.

After using her computer I decided I had to get my own one.

I use this for work about 7 hours a day. I have had 5 months and other than the dust it has accumulated, it look and works brand new. None of the letters are scratched (and remember I said I have used this for 5 months 7 hours a day)

I would defiantly recommend. This is every comfortable keyboard and types and feels perfect.

As I said I use this for work. The 6 macro keys on the left are an amazing aspect and I use these countless times a day for tasks I repeat. (There is a task at work that believe it or not I can complete 4 hours before the average person just because of those amazing macro keys.

The only problem I have with this is that you need to have ICUE! running in the background the manually ick the colours you want. Other than this it's great. The default colours are good anyways so not too bad.",5.0 out of 5 stars
"This keyboard is not for me, decided to try it after using a slimline keyboards for years. I find this keyboard incredibly awkward to use and not a pleasant typing experience. Constantly catching fingers on the other keys due to the elevated position of them and the much longer travel than I am used to. I know some like that feel but it adds nothing to the typing experience for me other than your fingers get tired from typing much quicker.

The selling points for me had been the backlighting and macro keys both of which are a complete disappointment.

Maybe I'm just not the right market for all this RGB stuff, but I've never understand the need to have your computer and accessories glowing all colours of the rainbow. I just wanted to be able to have a simple colour for a backlight. When I first plugged this keyboard in I was dazzled by the crazy strobing rainbow effect it adopts by default, which is massively distracting I really don't need my keyboard to be giving me a light show. The options appear to be either turn off the lights completely using the light button on the keyboard or install the iCue bloatware. I went with the latter the options in here are then you can either apply a lighting effect which basically allows you to choose some irritating pattern for the lights to flash at you in or choose hardware lighting which will set a static colour. By fudging the lighting settings you can effectively make the pattern be a static colour but it's clearly not the idea.

The lighting effects only work when you have their software running as do the macros. All massively pointless and overkill for me. Returned and ordered a slimline Cherry keyboard that already has the additional buttons such as calculator that I need.",2.0 out of 5 stars
"This is a great keyboard, and when you fork out a ton of money on a keyboard you'd expect no less. There are a few issues I have with this though. For RGB it might not be as customisable as you'd think

*** Pro's ***
- The keyboard comes with a rest for your wrists which is an amazing feature as it prevents you from getting strain or uncomfortable hands
- The keyboard offers RGB customisability that can be synced with the iCue system giving you the option to have profiles for the RGB colours
- The keyboard has macro buttons that you can map on the iCue software to create complex macros and simple macros
- Keyboard comes with volume control which allows you to skip songs, pause them, and increase total computer volume
- Keys feel nice to use even though they're not mechanical
- Quite a large keyboard but it's perfect for an optimal keyboard layout

*** Con’s ***
- Even though it has RGB, it's not as customisable as you'd expect, instead of having each key able to be mapped out it has 3 sections that work as one mappable area each
- The keys aren't mechanical and for the price it should be, might be worth spending a little extra to get a better keyboard in my opinion

Areas to improve:
- Make it so that every key on the keyboard is able to be mapped as a separate LED
- Make the keyboard mechanical instead of the weird thing that it is so the option to swap out switches is available

I love this keyboard, and even though it might not be my dream keyboard it works very very well. The macros are useful and they're something I use in my every day life, and I find the RGB lights to be a nice addition.",4.0 out of 5 stars
This extremely good keyboard with more keys for gaming and the colour pattern are very first-rate. This certainly well worth a purchase because it reasonably-priced.,4.0 out of 5 stars
